"release_id","member_id","chamber","party","ideology_score","state","date","topic","sentiment_score","contains_attack"
1,91,"House","Democrat",1.00833230302098,"WY",2024-11-07,"Technology",-0.2,1
2,112,"House","Republican",0.0329299031591041,"AZ",2024-04-25,"Health",0.12,0
3,123,"House","Democrat",-0.2909031929734,"WY",2024-09-12,"Education",0.18,1
4,467,"House","Republican",-0.181027182047508,"MA",2024-10-02,"Budget",-0.16,1
5,113,"House","Democrat",0.755330135571731,"MA",2024-11-12,"Budget",0.35,1
6,38,"House","Republican",-0.0156078969540632,"NE",2024-11-13,"Energy",-0.44,1
7,192,"House","Republican",-0.421817285159586,"ID",2024-06-17,"Budget",-0.19,0
8,1,"House","Republican",1.04623691591704,"AL",2024-10-30,"Immigration",0.6,0
9,215,"Senate","Republican",0.0339965264092625,"NC",2024-07-18,"Agriculture",0.13,1
10,213,"House","Republican",-0.0201612131618323,"AZ",2024-07-07,"Foreign Policy",-0.29,1
11,252,"House","Republican",0.20427676440619,"UT",2024-04-16,"Economy",-0.24,1
12,523,"House","Republican",-0.0214669957734136,"SC",2024-07-06,"Education",0.05,0
13,69,"House","Independent",-0.728890239124604,"AZ",2024-02-25,"Foreign Policy",-0.03,0
14,458,"House","Republican",0.384303754727857,"MD",2024-01-03,"Health",-0.29,0
15,441,"House","Republican",-0.38352208698185,"ID",2024-09-02,"Education",-0.48,1
16,358,"House","Democrat",0.336428296398341,"AR",2024-04-01,"Foreign Policy",0.16,1
17,382,"House","Republican",0.498287681500693,"IL",2024-10-28,"Environment",-0.18,1
18,154,"House","Republican",-0.176183202214751,"UT",2024-05-16,"Budget",-0.02,1
19,513,"House","Democrat",0.206191319573613,"PA",2024-10-17,"Environment",0.25,1
20,292,"Senate","Democrat",0.110246405333984,"WV",2024-07-29,"Immigration",-0.68,0
21,427,"House","Democrat",-0.440100174529769,"IL",2024-06-27,"Health",-0.22,1
22,530,"House","Republican",-0.0996388474085364,"NC",2024-03-10,"Foreign Policy",-0.27,0
23,171,"House","Democrat",-0.0265149146872666,"WV",2024-10-11,"Foreign Policy",-0.06,0
24,508,"House","Democrat",-0.34413833188924,"RI",2024-04-11,"Agriculture",0.29,1
25,168,"Senate","Republican",-0.467694925661598,"PA",2024-03-13,"Environment",-0.09,0
26,336,"House","Democrat",0.075662408607438,"WA",2024-11-03,"Technology",-0.51,1
27,196,"House","Republican",0.113040334241586,"IA",2024-03-21,"Education",-0.43,1
28,354,"House","Republican",0.589036437505695,"MN",2024-08-17,"Technology",-0.14,1
29,323,"Senate","Democrat",-0.244426821589791,"KS",2024-04-25,"Immigration",0.33,0
30,436,"House","Republican",-0.0298373447760151,"SC",2024-03-15,"Agriculture",0.16,0
31,250,"House","Democrat",0.367410067060514,"NE",2024-02-18,"Budget",-0.08,0
32,248,"House","Democrat",-0.111974049259506,"MS",2024-06-07,"Environment",-0.02,1
33,331,"House","Republican",0.00190509728217036,"SD",2024-11-20,"Immigration",0.4,1
34,432,"House","Republican",0.00268813203274471,"IL",2024-07-01,"Foreign Policy",-0.39,0
35,295,"House","Republican",0.112954829449132,"MT",2024-12-26,"Immigration",0.3,0
36,347,"House","Democrat",-0.411908303673118,"LA",2024-02-09,"Environment",0.2,1
37,252,"House","Republican",-1.06798139231935,"MD",2024-01-17,"Immigration",-0.12,1
