"county_fips","year","unemployment_rate","median_income","gini_index","poverty_rate","pop_density","urban_rural","percent_white","percent_black","percent_hispanic"
"53506",2015,4.2,63262,0.35,15.1,201.3,"Urban",84.4,3.1,23.7
"43297",2020,8.7,61006,0.49,24.1,229.9,"Rural",79.1,56.3,17.8
"58596",2017,7.3,48323,0.36,26,123.7,"Rural",21.3,32.7,49.2
"34619",2020,4.9,55327,0.54,5.7,372.2,"Urban",34.1,3.6,56.1
"43094",2016,2.4,66234,0.38,30,273.8,"Urban",73.2,19.5,47.3
"37427",2012,12.2,57395,0.51,25.6,522,"Suburban",71.7,33.3,10.4
"53506",2010,3.3,55070,0.4,25.3,266.8,"Urban",68.8,42.8,32.7
"49118",2020,2.4,46294,0.54,22.5,94.1,"Urban",41.1,5.9,52.9
"19037",2010,12.4,61292,0.45,27.4,120.6,"Rural",41.2,51.5,14.9
"38665",2019,11.4,53207,0.52,20.3,118.3,"Rural",43.6,12.3,33.6
"54559",2019,5.3,59908,0.47,9.4,242.7,"Urban",27,28.4,62.7
"27441",2016,14.4,56670,0.49,17.8,313.9,"Urban",75,28.2,59
"19037",2016,3.2,62535,0.41,29.6,464.5,"Urban",64.2,4.3,38.6
"26860",2018,14.8,50256,0.49,7.1,66.4,"Urban",50.8,13,44.7
"56918",2010,2,60994,0.42,10.9,390.7,"Suburban",88.2,58.8,5.7
"21116",2020,14.8,51845,0.54,11.2,248.1,"Suburban",87.6,29.2,14.6
"18893",2012,5.7,48548,0.53,6.3,470.7,"Suburban",83.3,44.4,48.5
"35169",2017,4.6,66995,0.28,7,147,"Rural",58.5,10.8,35.1
"27937",2010,11.4,56838,0.28,26.5,100.6,"Rural",44.2,51.8,52.4
"47351",2018,13.9,64301,0.42,29,493.6,"Urban",28.8,7.8,12.7
"58020",2017,8.6,54609,0.41,12.6,55.5,"Urban",35.7,46.6,65.5
"14428",2011,8,44306,0.45,18.6,847.5,"Suburban",46.5,1.3,69.7
"47988",2015,5.4,72075,0.29,19.2,142.3,"Urban",25.5,29.4,57.4
"27797",2019,12.6,61229,0.51,26.4,247,"Urban",39.6,3.3,3.3
"36547",2018,6.5,50943,0.54,16.7,32.8,"Suburban",41.3,25.3,56.6
"27797",2013,3.8,47917,0.51,25,112.6,"Suburban",50.8,25.9,39.6
"29824",2019,11.6,55587,0.34,8.4,76.1,"Urban",26.6,49.1,22.7
"54594",2017,11.3,54295,0.29,11.3,113.8,"Suburban",76.7,26.9,38.6
