"state","county","precinct_id","year","reg_voters","turnout","dem_votes","rep_votes","median_income","pct_bachelor","race_black","race_hispanic"
"NV","j","P09208",2024,852,617,314,264,55537,46.4,48.2,73
"MA","u","P09720",2012,882,588,269,274,59426,44.5,55.3,58.8
"OH","b","P07900",2024,858,565,283,269,65991,27,69.7,8.7
"MS","b","P11298",2016,838,587,326,276,55572,36.2,5.7,23.9
"MS","r","P12924",2016,841,551,292,291,57837,20.9,38.3,71.5
"VT","u","P25319",2024,869,621,308,273,68451,32,57.6,9.7
"RI","t","P30882",2024,837,628,300,304,53990,11.7,66.7,44.3
"AZ","g","P49845",2012,859,585,297,273,65714,39.1,61.2,57.7
"MO","a","P30222",2012,846,621,267,292,62517,15,49.7,58.4
"MS","p","P07217",2012,906,568,297,306,61499,65.1,15.5,25.6
"NH","m","P02410",2012,821,566,319,284,58443,76.5,9.2,12.1
"MI","t","P02309",2016,855,620,315,301,68846,48.1,13.2,47.3
"TX","j","P27977",2016,809,654,288,302,58656,46.2,68,47.6
"KS","g","P11465",2024,843,630,295,322,57536,54.8,34.6,57.9
"MT","o","P35011",2016,866,569,297,285,43964,78.3,7,22.7
"NY","i","P12411",2016,835,581,316,299,38200,27,23.2,24.6
"AZ","c","P08223",2024,883,593,282,312,53658,23.1,64.2,49.9
"DE","b","P10628",2020,852,606,307,302,57641,61.2,13.6,40.5
"LA","o","P41157",2016,855,566,299,270,50970,79.9,25.6,51.5
"PA","d","P25471",2024,857,614,308,301,52435,70,56.6,74.5
"TX","e","P28335",2020,869,607,279,281,39441,18.2,15.2,79.9
"CT","x","P12676",2016,861,591,297,311,46788,38.2,69,51.9
"OR","p","P42678",2024,863,643,269,262,36807,55,50.2,68.5
"AZ","f","P29230",2016,795,564,318,299,56798,56.6,2.5,66.5
"NY","z","P22393",2012,825,588,309,329,52213,71.2,43.9,61.4
"PA","r","P47807",2020,860,588,315,272,72877,18.3,40.4,66.4
"AK","d","P23438",2012,899,652,287,282,58004,19.9,49,4.5
"TN","f","P21353",2016,812,599,292,272,50277,67.7,49,42
"MN","a","P06465",2016,833,582,289,296,50552,55.6,29.2,31.9
"KS","s","P29091",2020,825,629,281,259,45352,34.9,11.7,27.4
"DE","k","P41830",2024,845,609,296,260,59719,76.6,25.2,16.7
"MO","v","P24383",2024,854,640,287,301,73399,52.7,31.5,58.3
"NH","k","P26143",2020,831,605,289,288,37973,68.9,17.4,28.7
"ID","x","P00781",2016,887,600,282,267,58467,61.3,51.9,77.6
"AL","e","P21621",2020,848,579,305,257,56154,35.7,44.4,29.8
"VT","r","P09575",2020,892,598,285,285,47950,58.5,59.7,38.4
"CA","v","P42056",2024,866,639,300,300,62145,26,46.3,29.6
"GA","k","P39964",2020,876,655,295,259,57107,30.5,63,29.6
"ID","a","P14254",2016,865,577,293,276,51886,75.6,21.5,57.1
"MI","i","P25995",2016,847,609,308,275,61087,15.9,51.5,40.1
"NY","y","P24145",2016,851,557,313,290,60664,19.9,35,58.7
"NC","m","P33609",2020,907,603,317,252,59011,33,3.7,31.3
"VT","b","P28442",2020,876,579,292,314,47327,55.1,23,3.6
"SD","i","P39952",2024,842,614,293,268,65240,23.3,1.5,28.7
"NE","o","P17367",2016,857,592,300,257,58689,12.1,0.5,61.3
"NJ","g","P20561",2024,833,644,329,279,57703,67.8,30.4,7.3
"SC","b","P43305",2016,867,605,285,296,61465,76.4,12.6,24.1
"KS","r","P04633",2020,912,610,303,284,56079,65.7,46.6,16
"NV","u","P30909",2012,876,560,309,283,47110,23.8,13.9,52.1
"NJ","n","P33165",2016,876,598,303,256,42103,50.3,25.4,42.2
"LA","u","P38297",2020,896,572,279,269,63128,40.3,4.1,67.9
"DE","q","P06936",2012,874,586,318,270,57381,33.2,2,37.4
"DE","p","P04105",2024,824,620,290,272,60960,46.2,27.1,51.2
"TN","r","P49236",2024,863,580,314,258,58270,47.7,58.9,68.6
"MN","u","P18746",2020,820,615,292,243,59249,10.5,2.7,42.3
"NH","h","P43615",2012,910,531,299,275,37018,52.3,60,19.4
"TX","o","P28494",2016,855,597,282,291,76605,49.8,1.3,40.2
"KS","x","P02405",2012,860,577,270,287,60869,27.7,44.9,54.5
"WV","j","P08956",2024,852,603,332,269,55150,64,42.5,14.5
"CA","v","P10811",2024,850,636,301,260,60848,53.1,18,75.4
"NY","h","P23632",2012,905,615,291,252,47386,40.7,69.5,31.6
