contribution_id,candidate_name,candidate_party,office,state,amount,date,contributor_type,contributor_state,is_corporate,bonica.rid,cycle,election,Cand.ID,District,cfscore,male.winner,running.variable,female.margin,female.pctile,prev.elect,democrat,total.votes,professional,pct.female.chamber,gop.gov,house,state.pres.dem,num.cands,won.again,pct.dem.last,female.cand.last,total.dist.last,female.inc,total.raised.candidate,log.total.raised.candidate,individual.money,log.individual.money,pac.money,log.pac.money,party.money,log.party.money,male.money,log.male.money,female.money,log.female.money,share.district.total,district.total,log.district.total,cand.gender
1,"LAUGHLIN, SUSAN",Democrat,state:lower,PA,40375,1998-01-14,Party Committee,VA,FALSE,cand100708,1998,PA1998,PA105027,PA-16,-0.106536695,0,-15.25979863,65.25979863,65.3,NA,0,16.609,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,40375,10.60596606,3925,8.275376375,36000,10.49130199,250,5.525452939,2625,7.873217055,1300,7.170888479,1,40375,10.60596606,F
2,"OPAKE, MICHAEL A",Democrat,state:upper,PA,228235,2004-05-13,Party Committee,UT,TRUE,cand101663,2004,PA2004,PA1080,PA-11,0.118795732,1,20.87521362,29.12478638,29.1,NA,0,98.696,0.283,0.15942029,0,0,0.5092,2,1,94.89754486,0,108629,0,228235,12.33813108,108032,11.59019201,95050,11.46216887,17436,9.766349664,102631.6,11.5389109,4800,8.476579509,0.763808013,298812,12.60756989,M
3,"ROBBINS, ROBERT D",Republican,state:upper,PA,206336,1998-01-13,PAC,OK,TRUE,cand101666,1998,PA1998,PA1083,PA-50,0.607340809,1,18.25415802,31.74584198,31.7,NA,1,58.625,0.283,0.230769231,1,0,0.4917,2,1,NA,NA,NA,0,206336,12.23726119,69259,11.14562282,83200,11.32901465,22644,10.02769436,61289,11.02337198,3855,8.257385656,0.961531471,214591,12.27648917,M
4,"HUGHES, VINCENT",Democrat,state:upper,PA,560965,2004-09-27,PAC,MI,TRUE,cand101669,2004,PA2004,PA1086,PA-7,-0.39055267,1,33.5528717,16.4471283,16.4,NA,0,109.32,0.283,0.15942029,0,0,0.5092,2,1,100,0,87128,0,560965,13.23741379,128380,11.76275768,418700,12.94491234,0,0,102905,11.54157123,26850,10.19805834,0.939915386,596825,13.29937922,M
5,"MILLARD, DAVID R",Republican,state:lower,PA,14940,2008-10-19,Party Committee,CA,TRUE,cand101681,2008,PA2008,PA113,PA-109,0.61131982,1,11.65739059,38.34260941,38.3,NA,1,25.872,0.283,0.157575758,0,1,0.5447,2,1,41.500556949999996,0,49161,0,14940,9.611797459,1510,7.320526962,12100,9.401043373,500,6.216606101,1310,7.178545484,200,5.303304908,0.644743656,23172,10.05069993,M
6,"HABAY, JEFFREY E",Republican,state:lower,PA,55563,2002-04-19,PAC,OK,FALSE,cand101934,2002,PA2002,PA14584,PA-30,0.428931775,1,19.3075764,30.6924236,30.7,NA,1,23.035,0.283,0.173529412,1,1,0.506,2,1,0,0,12468,0,55563,10.92527279,6130,8.721113148,15375,9.640563131,32458,10.38773303,4130,8.326274787,1050,6.957497371,1,55563,10.92527279,M
7,"STEELMAN, SARA G",Democrat,state:lower,PA,26074,1998-02-16,Individual,NY,TRUE,cand102030,1998,PA1998,PA19571,PA-62,-0.466984216,0,-8.554450989,58.55445099,58.6,NA,0,15.565,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,26074,10.16869393,12121,9.402777263,8550,9.053803514,200,5.303304908,7918.99,8.977145222,4148,8.33062262,0.304240274,85702,11.35863144,F
8,"BISHOP, LOUISE WILLIAMS",Democrat,state:lower,PA,40790,1998-10-21,Party Committee,WY,FALSE,cand102062,1998,PA1998,PA2334,PA-192,-0.505580308,0,-37.79188538,87.79188538,87.8,NA,0,13.704,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,40790,10.61619223,18465,9.823686482,18675,9.834994556,0,0,12975,9.470856776,5640,8.637816634,1,40790,10.61619223,F
9,"BOSCOLA, LISA",Democrat,state:upper,PA,240773,1998-01-22,Individual,OH,TRUE,cand102064,1998,PA1998,PA2336,PA-18,-8.5e-4,0,-5.435955048,55.43595505,55.4,NA,0,61.13,0.283,0.230769231,1,0,0.4917,2,1,NA,NA,NA,0,240773,12.39160986,121462,11.70736497,101427,11.52710447,1200,7.090909822,107573.68,11.58594058,12328,9.41970949,0.59816258,402521,12.90550255,F
10,"BOSCOLA, LISA",Democrat,state:upper,PA,339691,2002-08-03,Individual,MO,FALSE,cand102064,2002,PA2002,PA2336,PA-18,-8.5e-4,0,-11.74821472,61.74821472,61.7,NA,0,63.665,0.283,0.164383562,1,0,0.506,2,1,55.43595505,1,943851,1,339691,12.73579166,169842,12.04262976,94706,11.45854319,52069,10.86034425,159403,11.97919714,9438.96,9.152707022,0.963935868,352400,12.77252217,F
11,"CLYMER, PAUL I",Republican,state:lower,PA,33542,2002-07-16,Individual,IL,FALSE,cand102071,2002,PA2002,PA2343,PA-145,0.709498515,1,20.32980086,29.67019914,29.7,NA,1,17.286,0.283,0.173529412,1,1,0.506,2,1,0,0,25347,0,33542,10.42055366,10813,9.28859687,9279,9.135616826,1079,6.98471632,9224,9.129672469,1214,7.102499356,0.756950713,44312,10.6990108,M
