"student_id","school_id","grade_level","gender","race_ethnicity","school_poverty_rate","gpa","suspensions","school_safety","teacher_support","parent_involvement"
1,"S371",9,"male","Other",75.5,2.87,1,5.6,5.4,9.1
2,"S313",12,"female","Black",88,3.33,0,3.4,6.1,6.2
3,"S053",10,"male","Other",15,2.72,2,5.4,8.7,6.9
4,"S083",9,"female","Black",89.3,4,0,5.5,8.2,3.8
5,"S092",10,"female","Latino",79,1.77,0,7.3,4.8,3
6,"S082",12,"female","Black",49.2,3.58,0,7,5.1,6.7
7,"S389",11,"female","White",20.3,1.84,0,9.4,7.6,5.1
8,"S016",10,"male","Latino",80.3,2.31,0,4.9,6.5,6.4
9,"S402",10,"female","Asian",84.2,2.97,1,6.1,7.2,6.5
10,"S214",11,"male","Black",91.1,2.94,0,5.4,6.8,5.1
11,"S118",12,"male","Asian",83.6,2.23,2,4.3,6.8,5.2
12,"S234",11,"female","Asian",44.8,3.16,0,5.6,7.2,5.6
13,"S224",9,"male","White",32,1.87,1,7.4,4.4,4.5
14,"S318",12,"male","Asian",74.6,2.68,0,6.2,4.4,5.1
15,"S203",11,"female","White",84.6,2.55,0,7.1,5,5.7
16,"S064",12,"male","White",37.4,2.97,1,6.7,4.6,3.8
17,"S378",10,"male","Latino",64.5,3.16,2,4.4,6.4,8
18,"S263",10,"female","White",82.2,2.64,0,7.4,7,2.4
19,"S174",12,"nonbinary","Other",72.6,3.41,1,5.4,5.7,3.9
20,"S011",12,"female","Black",26.6,2.48,0,6.5,6.2,5.3
21,"S468",10,"female","Black",42.5,3.33,0,7.1,8.1,5.3
22,"S242",10,"male","White",32.4,2.28,0,7.6,3.2,4.2
23,"S117",9,"male","White",39.4,3.01,1,5.5,6.8,2.4
24,"S130",9,"male","White",36.9,2.55,0,5.9,7.1,3.4
25,"S174",10,"nonbinary","Latino",84.5,2.84,2,5.7,5,7
26,"S376",10,"male","White",92.7,2.66,1,6.7,4.7,1.6
27,"S256",10,"male","Latino",48.1,3,0,3.8,7.9,2.9
28,"S188",9,"male","Latino",75.9,2.78,0,2.5,7,5.5
29,"S352",9,"male","Black",56.4,2.98,0,7.6,6.7,3.5
30,"S416",11,"female","Latino",90,3.13,0,8.3,6,7.5
31,"S182",10,"male","White",88.3,3.19,0,6.8,5.1,4.9
32,"S020",11,"female","Asian",33,1.93,0,8.5,4.8,4.1
33,"S438",12,"female","Asian",65.5,2.69,0,6.7,6.9,6.2
34,"S255",9,"female","Asian",28.2,2.66,0,4.9,4.7,4
35,"S163",9,"female","Asian",36.4,2.91,0,7.1,8.8,4.1
36,"S270",10,"male","White",78.1,3.12,0,9.1,5.8,4.5
37,"S113",9,"female","Black",39.5,2.68,0,7,4.8,3.4
38,"S424",12,"female","Black",51.7,2.04,0,5.2,7.4,8
39,"S242",10,"female","Black",19,3.26,0,7,6.9,6.1
40,"S159",10,"male","Asian",66.7,3.4,0,7.2,5.5,7.2
41,"S203",11,"male","Black",63,2.63,0,5.4,7.5,6.7
42,"S494",10,"female","White",94,2.81,0,6.7,6.7,8.1
43,"S230",9,"female","Other",90.9,3.08,0,7.3,6.8,6.7
44,"S299",9,"male","White",29.2,2.55,1,6.2,7.9,4.6
45,"S263",9,"female","Asian",19.8,3.2,2,8.6,7.6,5.5
46,"S301",11,"male","Latino",70.3,2.09,0,4,6,4.5
47,"S307",12,"male","Asian",64.1,3.05,0,7.8,5.1,4.6
48,"S138",9,"female","Asian",35.9,1.52,0,7.9,6.3,8.8
49,"S488",9,"male","Asian",85.6,2.49,0,5.3,7.9,2
50,"S341",12,"female","Asian",17.1,3.21,0,6.3,7.6,8.3
51,"S262",12,"female","Black",71.7,2.6,0,5.2,4.3,5.7
52,"S222",10,"female","Latino",71.9,2.85,0,3.5,6.4,3.9
53,"S477",11,"female","Asian",34.3,2.81,0,4.3,6.6,4.3
54,"S239",12,"female","Asian",49.5,1.37,0,5.2,5.5,4.7
55,"S324",9,"female","Black",23.6,3.13,0,4.5,6,5.5
56,"S196",10,"female","Latino",55.9,2.58,0,6.4,4.7,8.7
57,"S378",11,"male","Other",38.4,3.3,0,4.5,5,5.2
58,"S147",11,"female","Latino",24.6,3.18,0,6.4,6.5,3.5
59,"S089",11,"female","Other",61.3,2.61,0,5.7,7.3,5.7
60,"S410",9,"female","Asian",14.8,2.31,0,5.1,5.3,5.6
61,"S020",11,"male","Latino",94,2.46,0,7.1,6.2,6.5
62,"S463",12,"male","Latino",37.2,2.06,0,4,7.4,5.7
63,"S279",10,"male","Latino",36.9,1.88,1,3.5,8.4,5.2
64,"S441",11,"male","Latino",61.4,2.84,1,6.4,6,4.7
65,"S411",10,"female","Other",10.5,2.56,1,4.8,6.3,7.6
66,"S259",9,"female","Latino",37.2,3.35,0,6.4,5.7,4.9
67,"S125",10,"male","Asian",77.2,2.47,0,4.8,6.7,7.8
68,"S422",11,"female","Asian",35.6,2.61,0,5.3,6.9,3.5
69,"S358",11,"male","Other",13.3,3.27,0,6.8,7,6.3
70,"S126",11,"male","Asian",29.9,2.34,0,6.2,5.2,4.4
71,"S108",12,"male","Other",35.8,3,0,7.8,4.1,3.6
72,"S235",12,"female","Latino",79.1,3.01,0,5.3,6.9,3.4
73,"S151",11,"male","White",65.9,3.19,0,8.5,6.8,7.8
74,"S157",12,"female","Latino",39.5,2.92,0,6,5.2,5.5
75,"S499",11,"female","Other",38,2.34,0,6.4,6.3,3.5
76,"S461",9,"male","Other",19.3,3.54,0,5.5,6.3,1.1
77,"S147",10,"male","White",68.9,4,0,2.9,5.9,6.4
78,"S487",10,"male","Latino",66.1,2.4,0,6.1,5.8,3.6
79,"S314",9,"male","Black",79.9,3.06,1,8.9,7.3,4.2
80,"S352",11,"female","Black",15,3.2,0,7.2,3.6,4.8
81,"S262",10,"female","Latino",65.5,2.33,0,6.4,6.1,4.2
82,"S377",9,"female","White",76.7,2.36,3,5,3.2,1.8
83,"S262",12,"female","Black",80.8,3.42,0,5.6,6.3,7
84,"S296",9,"female","Black",19.3,2.66,0,4.5,8.1,7.1
85,"S470",9,"female","Black",80,2.67,0,2.6,6.6,6.1
86,"S181",9,"female","Asian",33.8,2.9,1,7.8,6.9,6.4
87,"S077",9,"female","Latino",16.7,2.47,0,5.4,6.9,3.2
88,"S154",9,"female","Black",50.1,2.33,0,9.3,8.5,5.5
89,"S079",11,"male","Black",63.7,3.52,1,5.5,7.2,5.1
90,"S188",11,"female","Asian",54.9,3.1,2,6.5,5.6,0.8
91,"S432",10,"male","White",27.7,2.46,0,5.4,4.1,7.2
92,"S238",10,"female","White",48.1,2.64,0,8.2,4.5,5.3
93,"S111",10,"female","Black",68.8,3.1,0,5.8,7.9,4.4
94,"S379",9,"female","Latino",67.9,2.45,0,6,5.9,4.3
95,"S263",12,"female","Asian",17.8,1.77,1,7.4,5.3,7
96,"S415",11,"male","White",67.9,2.72,1,8.6,8.5,8.5
97,"S498",10,"male","Other",58.2,3.57,0,6.5,8,3
98,"S216",9,"female","White",27.2,2.76,0,7.9,6.8,6.4
99,"S125",11,"female","Other",56.7,2.44,1,5,5.7,1.4
100,"S057",12,"female","Black",26.2,2.8,1,7.1,8.4,6.8
101,"S498",10,"male","White",54.9,2.65,2,2.2,5.2,5.2
102,"S367",9,"male","Black",73.3,2.8,1,4.4,5,5
103,"S203",11,"male","Black",71.5,2.75,0,6.2,5.4,5.6
104,"S299",10,"male","Latino",33.3,2.94,0,3.8,6.9,6
105,"S406",10,"male","White",37.2,3.19,0,5.7,5.4,3.9
106,"S422",10,"female","Asian",75.8,3.08,1,7.1,4.8,4.3
107,"S369",12,"male","Black",12.9,3,1,3.7,4.8,7.3
108,"S047",11,"female","Other",24.5,2.83,0,5.3,3.7,5.7
109,"S429",11,"male","Other",20.9,3.22,0,6.3,6.3,5
110,"S026",10,"female","Latino",19.2,2.84,1,5.3,6.1,7.6
111,"S471",11,"male","Asian",17,2.22,0,2.2,5.6,4.8
112,"S309",11,"male","Other",47.5,2.4,0,7.4,6.3,4.1
113,"S289",9,"female","Latino",65.8,2.1,0,6.3,7,1.8
