respondent_id,age,education,party_id,income_category,region,congress_approval
1,31,Some College,Independent,$30k-$60k,Midwest,19.132043952530566
2,68,Bachelor's,Republican,$30k-$60k,South,19.898067847496836
3,41,Some College,Republican,$30k-$60k,South,17.585641403645575
4,75,Bachelor's,Democrat,$30k-$60k,South,52.89177463793749
5,19,Some College,Democrat,$60k-$100k,West,14.571161802393675
6,55,Some College,Republican,$30k-$60k,South,30.634467991883874
7,27,Some College,Democrat,$60k-$100k,Midwest,19.844348107498345
8,49,High School,Republican,Under $30k,West,30.524796726010898
9,57,Bachelor's,Republican,Under $30k,Midwest,40.05865714097429
10,56,High School,Democrat,Over $100k,South,32.4182182037974
11,55,Graduate,Democrat,Under $30k,West,32.6081390266129
12,47,Some College,Independent,$30k-$60k,South,16.10569009076303
13,18,Graduate,Independent,Over $100k,Midwest,11.323784933605285
14,29,High School,Independent,$60k-$100k,West,25.746507305776465
15,20,High School,Republican,$60k-$100k,Midwest,20.881558324469744
16,26,Bachelor's,Independent,$30k-$60k,Northeast,14.496453825113687
17,31,Some College,Republican,$60k-$100k,South,11.843316342186252
18,30,Bachelor's,Democrat,Over $100k,Northeast,42.36537126257571
19,81,Bachelor's,Republican,$60k-$100k,Midwest,43.17398787453911
20,37,Some College,Republican,Under $30k,South,10.81521940312529
21,33,Some College,Democrat,$30k-$60k,West,10.94718798162868
22,79,Some College,Republican,$30k-$60k,Northeast,41.80592253701714
23,77,High School,Democrat,Over $100k,Midwest,60.245958075765046
24,49,Some College,Independent,Over $100k,Northeast,3.1691295976218115
25,42,Bachelor's,Independent,Over $100k,South,3.6950080873571807
26,53,Bachelor's,Republican,Under $30k,West,38.716967919058874
27,55,High School,Independent,$30k-$60k,South,11.569311815696548
28,26,High School,Independent,Over $100k,Midwest,29.52706435975998
29,22,Some College,Republican,$30k-$60k,Midwest,20.71194888212791
30,34,High School,Republican,$30k-$60k,Northeast,13.488174767142405
31,34,Graduate,Democrat,Under $30k,Midwest,35.35632224288939
32,54,High School,Republican,Under $30k,Midwest,33.60276075456195
33,75,Some College,Republican,$30k-$60k,West,17.75152899312321
34,84,Bachelor's,Independent,Under $30k,South,46.586428557072125
35,30,Some College,Independent,$30k-$60k,Midwest,26.798840203736077
36,84,Some College,Independent,Under $30k,South,38.718259278829024
37,66,Some College,Independent,$30k-$60k,West,15.733198860872692
38,73,Bachelor's,Independent,$30k-$60k,Midwest,16.445356090551645
39,51,Bachelor's,Independent,Over $100k,South,14.395524656133516
