"hh_id","year","head_age","education_head","num_children","income","has_employer_insurance","self_reported_health","unexpected_expense"
1,2019,58,"2",1,47159,1,4,0
1,2020,58,"2",1,114000,1,1,0
1,2021,58,"2",0,178018,1,4,0
1,2022,58,"2",2,60681,1,3,0
1,2023,58,"2",0,42426,0,3,0
1,2024,58,"2",0,40098,1,3,0
2,2019,26,"3",0,93135,1,3,0
2,2020,26,"3",1,93164,1,2,0
2,2021,26,"3",0,94221,1,3,0
2,2022,26,"3",1,51664,1,2,0
2,2023,26,"3",3,60324,0,3,0
2,2024,26,"3",0,74554,1,2,0
3,2019,45,"4",2,49022,1,2,0
3,2020,45,"4",3,33819,1,4,0
3,2021,45,"4",2,30756,0,4,1
3,2022,45,"4",2,19967,1,3,0
3,2023,45,"4",2,89417,0,4,0
3,2024,45,"4",4,45675,0,4,0
4,2019,28,"3",1,50000,1,1,0
4,2020,28,"3",0,50484,1,2,0
4,2021,28,"3",1,36288,1,3,0
4,2022,28,"3",3,76974,1,3,0
4,2023,28,"3",6,34177,1,3,1
4,2024,28,"3",3,75240,1,4,0
5,2019,37,"5",1,108721,1,3,0
5,2020,37,"5",0,78996,1,4,0
5,2021,37,"5",3,62515,0,3,0
5,2022,37,"5",3,64658,1,3,0
5,2023,37,"5",1,59235,0,3,0
5,2024,37,"5",1,64829,1,2,0
6,2019,55,"1",2,76820,0,3,0
6,2020,55,"1",1,23886,1,1,1
6,2021,55,"1",2,60968,1,3,0
6,2022,55,"1",2,63999,1,2,1
6,2023,55,"1",2,89562,1,4,0
6,2024,55,"1",1,75555,1,2,0
7,2019,52,"1",0,62834,1,3,0
7,2020,52,"1",2,67204,0,3,0
7,2021,52,"1",2,70219,1,3,0
7,2022,52,"1",0,36730,1,3,0
7,2023,52,"1",1,70287,0,3,0
7,2024,52,"1",1,185098,0,2,0
8,2019,48,"4",1,63322,1,3,1
8,2020,48,"4",2,57556,1,3,0
8,2021,48,"4",1,49919,1,3,0
8,2022,48,"4",2,81326,1,2,0
8,2023,48,"4",2,22355,1,4,1
8,2024,48,"4",2,29776,0,2,1
9,2019,45,"2",1,60270,1,2,0
9,2020,45,"2",3,59727,1,3,0
9,2021,45,"2",2,40563,1,5,0
9,2022,45,"2",2,46051,0,3,0
9,2023,45,"2",2,47590,0,2,0
9,2024,45,"2",2,60542,1,3,0
10,2019,33,"1",2,107868,1,5,0
10,2020,33,"1",0,83751,1,1,0
10,2021,33,"1",2,69215,1,5,0
10,2022,33,"1",1,61591,1,2,0
10,2023,33,"1",1,31907,1,5,0
10,2024,33,"1",1,106089,1,3,0
11,2019,62,"4",2,57719,1,3,0
11,2020,62,"4",0,163323,0,3,1
11,2021,62,"4",4,76638,1,2,0
11,2022,62,"4",1,67342,1,3,0
11,2023,62,"4",1,85684,0,4,1
11,2024,62,"4",0,79709,0,3,0
12,2019,38,"5",3,80369,0,4,0
12,2020,38,"5",3,117564,0,2,1
12,2021,38,"5",1,43567,1,3,0
12,2022,38,"5",1,120951,1,3,0
12,2023,38,"5",4,85514,0,4,0
12,2024,38,"5",1,42291,1,3,0
13,2019,30,"5",1,70153,0,4,1
13,2020,30,"5",2,29992,1,2,0
13,2021,30,"5",2,39678,1,3,0
13,2022,30,"5",2,63071,0,3,0
13,2023,30,"5",1,67856,1,3,1
13,2024,30,"5",0,41463,1,5,0
14,2019,37,"4",1,46767,0,3,0
14,2020,37,"4",0,111578,1,2,0
14,2021,37,"4",0,84865,1,2,1
14,2022,37,"4",3,41046,1,2,0
14,2023,37,"4",5,75165,1,5,0
14,2024,37,"4",1,52873,1,5,1
15,2019,41,"4",3,90966,0,4,0
15,2020,41,"4",3,38598,1,3,0
15,2021,41,"4",1,29630,1,3,0
15,2022,41,"4",1,68531,1,4,0
15,2023,41,"4",2,97332,1,3,0
15,2024,41,"4",3,39305,0,4,1
16,2019,65,"1",3,75464,0,2,1
16,2020,65,"1",2,165325,0,3,0
16,2021,65,"1",3,63955,1,5,0
16,2022,65,"1",0,87868,1,3,0
16,2023,65,"1",2,84942,1,1,0
16,2024,65,"1",0,210408,1,5,0
17,2019,39,"3",2,107922,1,2,0
17,2020,39,"3",2,84830,1,4,0
17,2021,39,"3",2,59542,0,3,0
17,2022,39,"3",4,35109,0,3,0
17,2023,39,"3",1,23225,0,3,0
17,2024,39,"3",2,67670,0,3,0
18,2019,41,"1",3,47338,1,2,1
18,2020,41,"1",3,64586,0,3,0
18,2021,41,"1",2,89212,1,3,0
18,2022,41,"1",1,61456,1,3,1
18,2023,41,"1",1,67328,0,4,0
18,2024,41,"1",5,57100,1,3,0
19,2019,48,"2",1,115335,1,3,1
19,2020,48,"2",2,82318,0,4,1
19,2021,48,"2",0,70025,0,5,0
19,2022,48,"2",1,60252,0,4,1
19,2023,48,"2",2,143458,1,2,0
19,2024,48,"2",3,60107,1,3,0
20,2019,34,"5",2,45534,1,3,0
20,2020,34,"5",2,49787,1,3,1
20,2021,34,"5",4,38101,1,5,0
20,2022,34,"5",3,50844,1,3,0
20,2023,34,"5",4,85315,1,3,0
20,2024,34,"5",4,38536,1,2,0
21,2019,41,"3",1,103379,1,4,1
21,2020,41,"3",1,69487,1,3,0
21,2021,41,"3",1,173065,0,5,1
21,2022,41,"3",2,48036,1,3,0
21,2023,41,"3",4,47261,1,5,1
21,2024,41,"3",2,55779,0,3,0
22,2019,61,"2",3,78545,0,4,1
22,2020,61,"2",2,67158,1,3,0
22,2021,61,"2",1,67878,0,2,0
22,2022,61,"2",1,57604,0,3,0
22,2023,61,"2",0,86834,0,4,0
22,2024,61,"2",2,32571,0,1,0
23,2019,61,"5",0,37047,1,4,0
23,2020,61,"5",2,66031,1,3,0
23,2021,61,"5",4,190827,0,4,0
23,2022,61,"5",3,53250,1,3,0
23,2023,61,"5",3,41982,1,4,0
23,2024,61,"5",3,65536,1,4,0
24,2019,46,"2",1,80334,1,4,0
24,2020,46,"2",4,63529,1,3,0
24,2021,46,"2",2,39165,1,1,0
24,2022,46,"2",0,35357,1,4,0
24,2023,46,"2",0,85406,0,4,0
24,2024,46,"2",1,19572,1,3,0
25,2019,27,"3",1,41832,1,3,0
25,2020,27,"3",1,54812,1,4,0
25,2021,27,"3",0,42294,0,2,0
25,2022,27,"3",0,56698,1,3,0
25,2023,27,"3",1,36491,1,4,0
25,2024,27,"3",2,60167,1,3,0
26,2019,29,"4",1,35324,0,4,1
26,2020,29,"4",1,82969,1,1,0
26,2021,29,"4",0,76888,0,3,1
26,2022,29,"4",2,66825,0,3,0
26,2023,29,"4",3,120222,1,2,1
26,2024,29,"4",3,63373,1,4,1
27,2019,30,"3",1,61247,1,1,0
27,2020,30,"3",1,60274,0,3,0
27,2021,30,"3",2,50565,0,4,0
27,2022,30,"3",1,82696,1,4,0
27,2023,30,"3",1,104943,1,4,0
27,2024,30,"3",3,119627,0,4,0
28,2019,70,"5",2,64999,0,3,0
28,2020,70,"5",1,34920,1,3,0
28,2021,70,"5",1,46618,0,4,0
28,2022,70,"5",2,56954,1,3,1
28,2023,70,"5",1,218548,1,3,0
28,2024,70,"5",1,61746,1,4,0
29,2019,29,"2",0,38251,1,3,0
29,2020,29,"2",2,110310,1,4,0
29,2021,29,"2",1,60587,1,4,0
29,2022,29,"2",0,122596,1,3,0
29,2023,29,"2",1,102284,0,3,0
29,2024,29,"2",2,39577,1,3,0
30,2019,67,"4",0,28254,1,4,0
30,2020,67,"4",0,117131,0,2,0
30,2021,67,"4",1,30158,1,5,0
30,2022,67,"4",3,24963,1,3,0
30,2023,67,"4",2,140600,1,4,0
30,2024,67,"4",2,48907,0,2,0
31,2019,59,"5",1,45634,1,3,0
31,2020,59,"5",0,74962,1,2,0
31,2021,59,"5",2,22664,0,4,0
31,2022,59,"5",3,43714,1,4,1
31,2023,59,"5",3,106731,1,4,0
31,2024,59,"5",4,83382,0,2,0
32,2019,39,"1",1,28157,1,4,0
32,2020,39,"1",0,86471,0,4,0
32,2021,39,"1",2,94183,1,4,0
32,2022,39,"1",3,64605,1,3,0
32,2023,39,"1",1,34742,1,3,0
32,2024,39,"1",0,13150,1,1,0
33,2019,43,"1",2,71053,1,5,1
33,2020,43,"1",0,53677,1,5,0
33,2021,43,"1",2,38535,0,3,0
