"congress","bill_id","member_id","party","ideology","bill_ideology","vote","district_partisanship"
114,500,66,"Dem",0.209490250796871,0.438975334971552,0,11.9
117,238,409,"Rep",0.41277466846945,-0.33229308158539,1,-20.8
116,494,327,"Dem",-0.277908134643289,-0.275148487654007,0,12
114,352,467,"Dem",0.108429210986188,-0.134852742354959,1,15.8
114,445,532,"Rep",0.0180387119356175,0.731356730876794,0,-11.3
116,177,487,"Rep",-0.509985621173388,-1.45066718010583,1,-25.6
116,621,290,"Rep",-0.70962363182083,0.177383636968808,1,2.2
118,40,245,"Rep",0.480387664782525,-0.0191136804721748,1,-13.3
114,426,464,"Rep",0.842895177117382,1.49581117382898,1,-28.3
116,165,90,"Dem",0.0727587019589117,-0.115767832775946,0,-29.4
115,301,181,"Rep",0.305900625352329,0.88807648175994,1,18.6
114,256,98,"Dem",0.919045155798463,0.555338641499999,1,-4.4
117,84,240,"Dem",0.0273325911177385,-0.506647937243053,1,14.1
114,365,305,"Rep",0.656091635825918,1.50963891916609,0,0.4
116,244,227,"Rep",0.412838911572876,0.807796650846613,1,-4.2
116,37,12,"Dem",-0.113470065129036,-1.41838856634698,0,2.2
117,718,217,"Dem",-0.0591947114158929,0.507014919351164,0,-29.6
117,714,489,"Dem",-0.02902297961638,1.96788638456252,0,-8.9
117,117,30,"Rep",-0.0130593765439106,0.279227828361081,1,-5.4
114,705,406,"Dem",0.518389557641216,0.802777907178032,0,-4.8
118,670,364,"Dem",-0.663230288801144,-2.13991573215306,1,27.5
114,681,66,"Rep",-0.304280081347683,1.14396040865081,0,25.7
114,599,419,"Rep",-0.61200141094038,0.724818711945281,0,-23.7
115,376,517,"Dem",0.0287666025699423,-0.849209219848873,0,25.7
116,728,40,"Dem",0.292480474881366,-0.818972825630623,1,-16.1
118,166,234,"Rep",0.562140417959309,-0.963594509860634,0,8.2
117,170,276,"Rep",0.0585710800717666,0.748232831556288,1,-15.6
117,562,237,"Rep",-0.0832697556607248,-1.09749443737128,1,6.8
116,368,113,"Dem",0.0257690704959523,0.465927106612414,0,-28.8
117,24,221,"Dem",0.29947235867666,-0.589045204053492,0,14.3
117,446,224,"Rep",0.309340585372806,-0.615780364780664,0,-6.5
114,138,531,"Rep",-0.448796570509062,-0.966686357428514,0,8.1
114,751,422,"Dem",-0.41294796791004,-0.856623292829537,0,-28.7
114,382,80,"Dem",-0.651923122183529,1.71007345096001,0,8.3
115,735,474,"Rep",-0.441804935252063,-0.299545327194781,1,-8
114,315,301,"Rep",0.00919922877735284,-0.324916654502469,0,11.9
116,598,23,"Rep",0.316509149309465,0.558022895707351,1,14.9
114,788,296,"Dem",0.437575364194769,-0.880382724064894,1,-25.9
115,314,389,"Dem",0.219161112889704,0.513620053835128,1,-1
116,756,446,"Dem",0.290736497770436,0.503667736471632,1,-19.7
114,451,50,"Rep",-0.860864619540959,0.195258486209708,1,16.8
117,162,11,"Dem",0.271115416058403,1.75918186039802,1,-17.6
118,591,167,"Dem",-0.15898739178974,-0.4429965272195,1,-21.8
115,122,431,"Rep",0.569528410481528,-1.60494264799386,1,-1.4
117,536,524,"Rep",0.321002676454272,-0.186162123501298,0,-20.9
114,418,431,"Rep",0.00399941049192329,-0.262012998520397,0,9.7
114,110,251,"Rep",0.362194103178732,-0.582004150183554,1,-12.1
115,388,305,"Dem",-0.280181050104637,-0.323326331246993,0,-18.6
115,127,207,"Dem",0.0541192617116005,0.179741932055278,0,-20.2
118,5,23,"Dem",0.410142573920692,0.062306981201834,0,13.5
117,241,460,"Dem",-0.976038916132342,-0.504156450691278,0,-24
116,729,126,"Dem",-0.627888727558446,-0.716071405587304,1,13.4
115,36,508,"Rep",0.103814549626158,0.860241246731207,0,-14.3
114,264,37,"Dem",-0.168837617068798,0.483279562718951,1,-3.8
116,775,432,"Rep",-0.347000624954486,-1.21929555482608,0,-4.9
116,304,277,"Dem",-0.275254806427536,-0.541010881238631,1,-29.1
114,748,297,"Rep",0.357876472564133,0.849454043853951,1,-5.1
116,218,435,"Rep",0.265435756090052,-0.591814989044191,1,0.6
114,65,226,"Rep",0.385918583082179,0.518701663198883,0,0.5
115,123,368,"Dem",0.0498938164021354,-0.0164768841360543,1,-8.7
118,195,3,"Rep",-0.56708910202669,-0.966882786647341,0,-7.7
118,683,217,"Rep",0.165486069090082,0.17543943121882,1,2.2
117,769,10,"Dem",-0.0643757839771647,0.183673003338403,1,-19.1
117,672,187,"Dem",0.0941304876780168,0.0470876541527573,1,-9.7
116,538,101,"Rep",-0.386694513658769,0.760501352642014,1,23
115,6,16,"Dem",0.157101999072357,-0.825393842977026,1,-28.6
117,68,103,"Dem",-0.113621124932341,1.33841518490431,1,-15.7
118,224,79,"Dem",-0.101139401512405,0.656905445509696,0,-20.3
