respondent_id,education,age,income,voted_2020,political_interest,volunteer_hours,donations,social_media_political
1,High School,54,84998.32299335352,Yes,9,4,260.36498478947954,6.963315769098699
2,Graduate,77,84840.91327978362,Yes,10,1,0,0.08703582920134068
3,Less than HS,70,92201.6111774284,Yes,9,2,149.78583523585183,7.53645203076303
4,BA,19,46382.016221168364,No,7,3,23.660470382750553,1.8339858204126358
5,High School,27,22652.711395200662,Yes,10,0,377.70798020451053,6.8135885102674365
6,BA,57,89307.32860675972,No,5,1,159.26253915156704,4.060329701751471
7,High School,73,25970.059902699082,No,1,3,299.03727473357026,4.979590578004718
8,Some College,27,37891.64594634225,Yes,7,4,20.212950147418596,1.1161084682680666
9,Graduate,19,58437.69606053491,No,1,3,208.81607399149996,6.521858088672161
10,BA,29,81937.63991542772,No,7,3,126.07169857039867,8.00700334366411
11,Some College,52,83277.69175314746,No,4,4,314.7468355742028,8.327709347940981
12,BA,25,15000,Yes,6,5,303.0311575261064,4.966596874874085
13,Some College,73,72324.39829004198,Yes,10,4,0,6.637542287353426
14,Some College,57,15000,Yes,9,3,284.95813231458413,1.670024562627077
15,Some College,70,132518.30808355354,Yes,10,3,177.58711759008767,8.85144182946533
16,Some College,39,36709.73438621755,Yes,9,5,0,8.60626686597243
17,High School,23,115606.68368588587,Yes,1,5,135.45222832113632,9.966975164134055
18,Some College,24,54835.642206999306,Yes,9,4,0,3.7240613088943064
19,Less than HS,84,83621.40774566491,No,8,6,279.2649807769333,6.744957119226456
20,BA,24,40918.36739427806,Yes,7,1,491.45363995671806,1.2314771115779877
21,Some College,25,68497.8164956656,No,7,1,250.2492387951634,7.702600308693945
22,BA,29,83242.02176269345,Yes,1,1,0,4.561822817195207
23,High School,22,110838.25506366162,Yes,4,4,0,9.234756459482014
24,Less than HS,36,46187.72018246327,Yes,2,3,524.5277074570613,5.621124827302992
25,High School,23,18071.997620630525,No,5,3,212.79574683050305,6.427160510793328
26,Some College,70,28232.540035298305,Yes,7,7,0,9.914171071723104
27,Graduate,74,68779.01495342342,No,2,0,199.97871261586727,8.980469808448106
28,BA,70,72779.9246319381,Yes,6,4,0,6.046324090566486
29,High School,52,56741.40473502415,Yes,7,4,0,8.552587556187063
30,High School,69,66493.01646528907,Yes,7,4,0,3.571461411193013
31,BA,26,55679.06825147787,Yes,2,2,335.9884006909481,6.469999882392585
32,Graduate,69,52356.93656359197,Yes,5,4,149.74706402461987,1.6103435354307294
33,Some College,30,132386.23385338613,Yes,8,3,0,4.021577860694379
34,Some College,73,67599.72118977478,Yes,9,5,78.25847605087998,5.652689118869603
35,High School,20,101705.41626426621,No,1,3,249.13540112970935,7.281254518311471
36,BA,33,143546.98459735117,Yes,1,6,0,3.6928458604961634
37,BA,63,25238.570682382087,Yes,8,3,0,2.939316383562982
38,Graduate,47,60867.23533476024,No,10,5,0,7.961490424349904
39,Some College,48,64919.93046483832,Yes,3,1,298.42342748331356,4.909208100289106
40,Less than HS,84,101177.28350553158,No,8,5,247.19739457243176,6.061371637042612
41,Some College,72,55146.52772905931,Yes,4,1,98.61767178377171,2.6268979418091476
