respondent_id,age,gender,race_ethnicity,education,income_bracket,ideology,party_id,trust_gov,policy_support_env,policy_support_guns
1,69,Female,Hispanic,Graduate,<$25k,Conservative,Independent,7,4,10
2,52,Female,Hispanic,Some College,<$25k,Moderate,Republican,4,9,6
3,50,Male,Black,Graduate,<$25k,Conservative,Democrat,3,9,1
4,44,Female,Hispanic,Less than HS,$25-50k,Very Liberal,Independent,5,10,6
5,25,Male,Black,Some College,$75-100k,Very Conservative,Republican,10,2,3
6,20,Female,Hispanic,High School,<$25k,Very Conservative,Republican,0,2,1
7,27,Male,Hispanic,Some College,$25-50k,Very Liberal,Democrat,9,4,8
8,58,Male,White,Less than HS,$50-75k,Very Liberal,Democrat,7,3,9
9,42,Female,White,BA,$50-75k,Conservative,Democrat,4,9,9
10,22,Non-binary,White,Graduate,$50-75k,Conservative,Independent,3,8,0
11,63,Non-binary,White,Less than HS,$75-100k,Very Conservative,Democrat,0,6,5
12,66,Female,White,Less than HS,$25-50k,Very Conservative,Independent,5,10,9
13,22,Male,White,BA,<$25k,Conservative,Independent,9,4,6
14,55,Female,Hispanic,Graduate,>$100k,Conservative,Other,7,10,0
15,30,Female,White,BA,$50-75k,Very Liberal,Republican,3,7,2
16,69,Male,White,Less than HS,<$25k,Moderate,Democrat,1,4,7
17,42,Female,White,Graduate,$75-100k,Very Liberal,Republican,9,8,1
18,24,Male,Hispanic,Less than HS,$75-100k,Very Conservative,Other,6,4,4
19,50,Male,White,BA,$75-100k,Moderate,Independent,8,6,7
20,50,Male,Black,High School,>$100k,Very Conservative,Independent,5,10,5
21,58,Female,Black,Graduate,$75-100k,Conservative,Republican,10,4,10
22,21,Male,White,Graduate,<$25k,Conservative,Democrat,1,10,5
23,35,Female,Asian,Graduate,<$25k,Very Conservative,Republican,5,0,10
24,74,Female,White,Less than HS,$75-100k,Conservative,Democrat,6,2,4
25,27,Female,Hispanic,Graduate,<$25k,Very Liberal,Republican,7,2,8
26,21,Non-binary,Black,High School,$25-50k,Very Conservative,Democrat,10,1,3
27,37,Male,White,Some College,$75-100k,Very Liberal,Independent,1,0,7
28,70,Male,White,Less than HS,$25-50k,Very Conservative,Republican,3,0,4
29,82,Male,Hispanic,Graduate,>$100k,Liberal,Republican,6,1,8
30,41,Male,White,BA,$25-50k,Very Liberal,Democrat,4,6,7
31,78,Male,White,BA,$50-75k,Liberal,Independent,0,0,4
32,45,Non-binary,White,BA,<$25k,Conservative,Democrat,10,3,6
33,81,Female,White,Less than HS,$75-100k,Very Liberal,Democrat,2,7,4
34,77,Female,White,Some College,>$100k,Moderate,Independent,7,7,0
35,70,Male,White,Some College,$25-50k,Moderate,Other,9,3,5
36,76,Male,White,Some College,<$25k,Very Liberal,Democrat,9,6,1
37,68,Female,White,BA,$75-100k,Very Liberal,Independent,7,6,0
38,62,Male,Hispanic,Some College,$50-75k,Moderate,Independent,3,7,3
39,52,Male,White,BA,$75-100k,Very Liberal,Democrat,9,9,8
40,49,Female,White,High School,$50-75k,Moderate,Democrat,8,2,1
41,62,Male,White,Less than HS,$50-75k,Liberal,Democrat,2,10,10
42,66,Male,White,Some College,<$25k,Very Liberal,Independent,3,1,4
43,47,Female,White,High School,$25-50k,Moderate,Republican,10,5,5
44,29,Male,White,Graduate,$50-75k,Very Conservative,Democrat,3,2,6
45,66,Female,White,Less than HS,$50-75k,Liberal,Democrat,10,1,9
46,58,Female,Asian,Graduate,>$100k,Moderate,Other,9,4,7
47,29,Male,Hispanic,Some College,$25-50k,Moderate,Democrat,4,0,1
48,46,Female,White,Less than HS,<$25k,Very Conservative,Democrat,2,5,2
49,72,Male,White,BA,$25-50k,Moderate,Independent,2,3,1
50,79,Female,Black,Less than HS,$50-75k,Liberal,Republican,7,9,1
51,85,Male,White,Graduate,$50-75k,Very Conservative,Republican,7,6,8
52,51,Female,White,BA,$50-75k,Moderate,Independent,2,10,8
53,80,Female,Asian,Some College,$75-100k,Conservative,Democrat,9,5,4
54,53,Female,Asian,High School,<$25k,Very Liberal,Republican,9,1,5
55,51,Male,White,Graduate,>$100k,Liberal,Republican,1,2,8
56,18,Male,Black,Less than HS,<$25k,Conservative,Independent,8,2,9
57,59,Male,White,Graduate,>$100k,Conservative,Independent,0,9,1
58,62,Male,White,Graduate,>$100k,Moderate,Republican,5,5,4
59,79,Female,White,High School,$50-75k,Very Liberal,Republican,9,7,7
60,58,Male,White,Some College,$50-75k,Very Liberal,Republican,5,10,6
61,38,Female,White,Less than HS,$25-50k,Very Liberal,Democrat,7,7,7
62,80,Male,Black,Some College,$25-50k,Conservative,Democrat,7,2,0
63,49,Female,Black,BA,<$25k,Moderate,Republican,0,9,0
64,45,Non-binary,White,Some College,$50-75k,Very Conservative,Other,7,6,9
65,46,Female,White,Less than HS,>$100k,Liberal,Republican,9,3,7
66,58,Male,White,High School,$75-100k,Moderate,Democrat,0,10,6
67,19,Male,White,Less than HS,$25-50k,Very Liberal,Independent,0,9,4
68,27,Female,Hispanic,Less than HS,>$100k,Very Liberal,Democrat,9,4,2
69,81,Female,Hispanic,BA,$25-50k,Moderate,Republican,1,10,1
70,37,Female,Asian,Less than HS,>$100k,Moderate,Democrat,4,5,8
71,19,Male,Hispanic,BA,<$25k,Very Liberal,Democrat,6,8,2
72,81,Male,White,Some College,$25-50k,Very Conservative,Republican,3,2,3
73,34,Male,White,Less than HS,<$25k,Conservative,Republican,3,9,9
74,63,Male,White,Some College,<$25k,Very Conservative,Republican,8,6,5
75,83,Male,Other,Less than HS,>$100k,Moderate,Democrat,6,3,0
76,33,Non-binary,White,Graduate,$25-50k,Liberal,Democrat,7,2,10
77,40,Male,Hispanic,Graduate,<$25k,Moderate,Republican,3,0,2
78,24,Female,White,BA,$25-50k,Very Liberal,Republican,3,6,10
79,59,Male,White,High School,<$25k,Moderate,Independent,7,8,5
80,62,Male,White,High School,>$100k,Conservative,Independent,9,2,8
81,38,Female,White,High School,>$100k,Conservative,Independent,2,4,0
82,85,Male,Asian,BA,$50-75k,Very Conservative,Democrat,9,6,7
83,73,Female,Black,Some College,$25-50k,Liberal,Independent,10,1,9
84,47,Female,White,Less than HS,$50-75k,Moderate,Democrat,4,10,10
85,23,Female,White,BA,$75-100k,Very Conservative,Republican,5,1,6
86,67,Female,White,High School,$50-75k,Liberal,Independent,4,10,8
87,66,Male,White,Graduate,$50-75k,Conservative,Other,7,7,7
