voter_id,treatment,age_group,education,voted_2022
1,Phone,18-29,BA,TRUE
2,Canvass,30-44,BA,TRUE
3,Canvass,18-29,Graduate,TRUE
4,Control,45-64,BA,TRUE
5,Control,18-29,High School,FALSE
6,Canvass,65+,High School,FALSE
7,Canvass,18-29,Graduate,FALSE
8,Canvass,65+,Some College,FALSE
9,Control,65+,High School,FALSE
10,Phone,30-44,High School,TRUE
11,Canvass,65+,High School,FALSE
12,Mail,65+,Graduate,FALSE
13,Canvass,30-44,BA,TRUE
14,Canvass,65+,BA,TRUE
15,Control,45-64,BA,TRUE
16,Control,18-29,High School,FALSE
17,Phone,18-29,BA,FALSE
18,Phone,65+,Some College,FALSE
19,Control,45-64,BA,FALSE
20,Control,45-64,BA,TRUE
21,Mail,30-44,Some College,FALSE
22,Canvass,30-44,Some College,TRUE
23,Canvass,45-64,High School,FALSE
24,Canvass,30-44,Graduate,TRUE
25,Canvass,30-44,Graduate,FALSE
26,Phone,65+,Some College,TRUE
27,Mail,18-29,BA,TRUE
28,Canvass,45-64,Graduate,TRUE
29,Mail,65+,Some College,FALSE
30,Control,30-44,High School,FALSE
31,Control,45-64,High School,FALSE
32,Mail,18-29,Some College,TRUE
33,Canvass,65+,BA,FALSE
34,Phone,65+,High School,TRUE
35,Canvass,65+,Some College,FALSE
36,Control,65+,BA,TRUE
37,Canvass,65+,Graduate,FALSE
38,Mail,65+,BA,TRUE
39,Mail,65+,Graduate,TRUE
40,Mail,30-44,Graduate,FALSE
41,Control,45-64,BA,TRUE
42,Canvass,30-44,Graduate,TRUE
43,Phone,45-64,BA,FALSE
44,Mail,65+,Graduate,TRUE
45,Control,65+,High School,TRUE
46,Control,45-64,Graduate,FALSE
47,Mail,45-64,Graduate,FALSE
48,Control,65+,Graduate,TRUE
49,Control,45-64,Some College,FALSE
50,Mail,45-64,Some College,TRUE
51,Mail,45-64,High School,FALSE
52,Mail,45-64,Some College,FALSE
53,Canvass,30-44,Some College,TRUE
54,Control,18-29,High School,FALSE
55,Phone,65+,Some College,TRUE
56,Control,18-29,BA,TRUE
57,Control,18-29,BA,TRUE
58,Control,45-64,High School,TRUE
59,Control,30-44,Some College,FALSE
60,Phone,30-44,High School,FALSE
61,Control,45-64,BA,FALSE
62,Phone,65+,BA,TRUE
63,Phone,45-64,Some College,TRUE
64,Phone,65+,BA,TRUE
65,Control,18-29,BA,FALSE
66,Canvass,45-64,Graduate,FALSE
67,Canvass,45-64,High School,FALSE
68,Phone,45-64,Some College,TRUE
69,Mail,45-64,High School,FALSE
70,Control,30-44,High School,TRUE
71,Mail,65+,High School,FALSE
72,Canvass,30-44,High School,FALSE
73,Phone,18-29,Some College,FALSE
74,Phone,30-44,BA,FALSE
75,Control,65+,BA,TRUE
76,Mail,30-44,Some College,FALSE
77,Mail,65+,Graduate,FALSE
78,Phone,65+,Graduate,TRUE
79,Canvass,18-29,High School,TRUE
80,Mail,45-64,Some College,TRUE
81,Canvass,45-64,High School,TRUE
82,Phone,65+,Graduate,TRUE
83,Mail,45-64,Graduate,TRUE
