enroll_id,day_of_course,videos_watched,quiz_attempted,forum_posts,subscription_type,completed_course
1,1,3,TRUE,0,Free,TRUE
1,2,0,FALSE,1,Free,TRUE
1,3,2,FALSE,0,Free,TRUE
1,4,1,FALSE,0,Free,TRUE
1,5,4,FALSE,1,Free,TRUE
1,6,2,TRUE,0,Free,TRUE
1,7,1,TRUE,0,Free,TRUE
1,8,2,FALSE,1,Free,TRUE
1,9,3,TRUE,0,Free,TRUE
1,10,0,TRUE,0,Free,TRUE
1,11,1,TRUE,0,Free,TRUE
1,12,6,TRUE,1,Free,TRUE
1,13,2,FALSE,1,Free,TRUE
1,14,2,TRUE,1,Free,TRUE
1,15,4,FALSE,0,Free,TRUE
1,16,2,FALSE,2,Free,TRUE
1,17,3,FALSE,0,Free,TRUE
1,18,1,FALSE,1,Free,TRUE
1,19,2,FALSE,0,Free,TRUE
1,20,1,TRUE,0,Free,TRUE
2,1,3,TRUE,0,Premium,TRUE
2,2,3,FALSE,1,Premium,TRUE
2,3,2,FALSE,0,Premium,TRUE
2,4,3,TRUE,0,Premium,TRUE
2,5,3,TRUE,2,Premium,TRUE
2,6,1,FALSE,1,Premium,TRUE
2,7,2,FALSE,0,Premium,TRUE
2,8,2,TRUE,0,Premium,TRUE
2,9,3,FALSE,1,Premium,TRUE
2,10,2,TRUE,0,Premium,TRUE
2,11,2,TRUE,0,Premium,TRUE
2,12,1,TRUE,0,Premium,TRUE
2,13,2,FALSE,0,Premium,TRUE
2,14,1,FALSE,0,Premium,TRUE
2,15,2,TRUE,2,Premium,TRUE
2,16,1,TRUE,0,Premium,TRUE
2,17,1,TRUE,0,Premium,TRUE
2,18,1,TRUE,0,Premium,TRUE
2,19,3,TRUE,1,Premium,TRUE
2,20,2,TRUE,1,Premium,TRUE
3,1,4,FALSE,1,Premium,TRUE
3,2,2,TRUE,0,Premium,TRUE
3,3,4,TRUE,0,Premium,TRUE
3,4,2,TRUE,0,Premium,TRUE
3,5,0,TRUE,0,Premium,TRUE
3,6,3,TRUE,0,Premium,TRUE
3,7,4,FALSE,0,Premium,TRUE
3,8,3,TRUE,1,Premium,TRUE
3,9,2,FALSE,1,Premium,TRUE
3,10,3,TRUE,2,Premium,TRUE
3,11,2,FALSE,0,Premium,TRUE
3,12,3,TRUE,2,Premium,TRUE
3,13,1,FALSE,0,Premium,TRUE
3,14,3,TRUE,1,Premium,TRUE
3,15,1,FALSE,0,Premium,TRUE
3,16,1,TRUE,1,Premium,TRUE
3,17,2,FALSE,1,Premium,TRUE
3,18,1,TRUE,0,Premium,TRUE
3,19,2,FALSE,2,Premium,TRUE
3,20,2,TRUE,0,Premium,TRUE
4,1,3,TRUE,1,Free,FALSE
4,2,2,TRUE,0,Free,FALSE
4,3,2,FALSE,0,Free,FALSE
